EC50_0,SMILES,EC50_1,EC50_2,EC50_3,EC50_4,EC50_5,EC50_6,EC50_7,EC50_8,EC50_9,EC50_10,EC50_11,EC50_12,EC50_13,EC50_14,EC50_15,EC50_16,EC50_17,EC50_18,EC50_19,EC50_20,EC50_21
-1.6020599913279625,COc1ccc2[n-]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,,,,,-1.6020599913279625,-1.6020599913279625,,,-1.6020599913279625,,,,,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-1.6020599913279625,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,,,,,-1.7781512503836436,,,,,-1.6020599913279625,-1.6020599913279625,,-1.6020599913279625,,-1.7781512503836436,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-2.574031267727719,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,,-1.0,,,-0.3010299956639812,,,,,,,,-1.146128035678238,,,,-2.574031267727719,,
-3.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,,,-2.6020599913279625,-2.6020599913279625,,-1.2041199826559248,-3.0,-1.2041199826559248,-2.7781512503836434,-3.0,-3.0,,-1.2041199826559248,,-1.2041199826559248,,,-2.7781512503836434,-1.2041199826559248,,-2.6020599913279625
-0.6989700043360189,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,,,,,,,,,,-0.6989700043360189,,,-0.9030899869919436,,,,,,,,
-1.0,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,,,-1.0,-1.0,,,,,,,,,-1.0,,,,,,,,
-0.4771212547196624,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,,,-0.4771212547196624,-0.4771212547196624,,,,,,,,,-0.4771212547196624,,,,,-0.4771212547196624,-0.4771212547196624,,-0.4771212547196624
-1.3010299956639813,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,,,,,,-1.3010299956639813,-1.9030899869919435,,-1.3010299956639813,-0.0,-0.3010299956639812,,-1.3010299956639813,,-0.0,,,,,,
-2.4771212547196626,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,,,-1.9030899869919435,-2.4771212547196626,,,,,,,,-1.9030899869919435,-2.0791812460476247,,-2.0791812460476247,-1.9030899869919435,,,-2.4771212547196626,-2.4771212547196626,
-2.0791812460476247,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-2.0791812460476247,,-2.5563025007672877,-2.380211241711606,-2.5563025007672877,,,,,-2.5563025007672877,,,-2.0791812460476247,,-2.255272505103306,-2.255272505103306,-2.0791812460476247,-2.5563025007672877,-2.0791812460476247,-2.0791812460476247,
